Epoch 001 | Train_loss 0.838 | Val_loss 2.940 | Train_acc 0.733 | Val_acc 0.297
Epoch 002 | Train_loss 0.777 | Val_loss 2.974 | Train_acc 0.770 | Val_acc 0.312
Epoch 003 | Train_loss 0.707 | Val_loss 3.008 | Train_acc 0.797 | Val_acc 0.352
Epoch 004 | Train_loss 0.651 | Val_loss 3.057 | Train_acc 0.809 | Val_acc 0.352
Epoch 005 | Train_loss 0.581 | Val_loss 3.102 | Train_acc 0.841 | Val_acc 0.352
Epoch 006 | Train_loss 0.575 | Val_loss 3.133 | Train_acc 0.848 | Val_acc 0.328
Epoch 007 | Train_loss 0.503 | Val_loss 3.189 | Train_acc 0.883 | Val_acc 0.305
Epoch 008 | Train_loss 0.446 | Val_loss 3.241 | Train_acc 0.897 | Val_acc 0.320
Epoch 009 | Train_loss 0.455 | Val_loss 3.291 | Train_acc 0.881 | Val_acc 0.281
Epoch 010 | Train_loss 0.435 | Val_loss 3.320 | Train_acc 0.886 | Val_acc 0.305
Epoch 011 | Train_loss 0.388 | Val_loss 3.351 | Train_acc 0.900 | Val_acc 0.281
Epoch 012 | Train_loss 0.320 | Val_loss 3.389 | Train_acc 0.917 | Val_acc 0.289
Epoch 013 | Train_loss 0.356 | Val_loss 3.405 | Train_acc 0.914 | Val_acc 0.312
Epoch 014 | Train_loss 0.294 | Val_loss 3.509 | Train_acc 0.923 | Val_acc 0.312
Epoch 015 | Train_loss 0.310 | Val_loss 3.547 | Train_acc 0.931 | Val_acc 0.305
Epoch 016 | Train_loss 0.281 | Val_loss 3.540 | Train_acc 0.931 | Val_acc 0.281
Epoch 017 | Train_loss 0.265 | Val_loss 3.517 | Train_acc 0.948 | Val_acc 0.320
Epoch 018 | Train_loss 0.235 | Val_loss 3.580 | Train_acc 0.945 | Val_acc 0.305
Epoch 019 | Train_loss 0.221 | Val_loss 3.707 | Train_acc 0.958 | Val_acc 0.328
Epoch 020 | Train_loss 0.229 | Val_loss 3.809 | Train_acc 0.947 | Val_acc 0.281
